,ru_name,ru_link,en_name,en_link,ka_name,ka_link
0,"Абалян, Эдуард Гайкович","https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%BB%D1%8F%D0%BD,_%D0%AD%D0%B4%D1%83%D0%B0%D1%80%D0%B4_%D0%93%D0%B0%D0%B9%D0%BA%D0%BE%D0%B2%D0%B8%D1%87",Eduard Abalyan,https://en.wikipedia.org/wiki/Eduard_Abalov,,
1,Георгий Семёнович Абашвили,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B9_%D0%A1%D0%B5%D0%BC%D1%91%D0%BD%D0%BE%D0%B2%D0%B8%D1%87",Georgy Abashvili,https://en.wikipedia.org/wiki/Giorgi_Abashvili,გიორგი აბაშვილი,https://ka.wikipedia.org/wiki/%E1%83%92%E1%83%98%E1%83%9D%E1%83%A0%E1%83%92%E1%83%98_%E1%83%90%E1%83%91%E1%83%90%E1%83%A8%E1%83%95%E1%83%98%E1%83%9A%E1%83%98
2,"Абашидзе, Анастасия Васильевна","https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D1%88%D0%B8%D0%B4%D0%B7%D0%B5,_%D0%90%D0%BD%D0%B0%D1%81%D1%82%D0%B0%D1%81%D0%B8%D1%8F_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0",Anastasija Vasilevna Abasjidze,,ტასო აბაშიძე,https://ka.wikipedia.org/wiki/%E1%83%A2%E1%83%90%E1%83%A1%E1%83%9D_%E1%83%90%E1%83%91%E1%83%90%E1%83%A8%E1%83%98%E1%83%AB%E1%83%94
3,Давид Иванович Абашидзе,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D1%88%D0%B8%D0%B4%D0%B7%D0%B5,_%D0%94%D0%B0%D0%B2%D0%B8%D0%B4_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87",Dodo Abashidze,https://en.wikipedia.org/wiki/Dodo_Abashidze,დოდო აბაშიძე,https://ka.wikipedia.org/wiki/%E1%83%93%E1%83%9D%E1%83%93%E1%83%9D_%E1%83%90%E1%83%91%E1%83%90%E1%83%A8%E1%83%98%E1%83%AB%E1%83%94
4,Леван Абашидзе,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D1%88%D0%B8%D0%B4%D0%B7%D0%B5,_%D0%9B%D0%B5%D0%B2%D0%B0%D0%BD",Levan Abashidze,https://en.wikipedia.org/wiki/Levan_Abashidze,ლევან აბაშიძე,https://ka.wikipedia.org/wiki/%E1%83%9A%E1%83%94%E1%83%95%E1%83%90%E1%83%9C_%E1%83%90%E1%83%91%E1%83%90%E1%83%A8%E1%83%98%E1%83%AB%E1%83%94_(%E1%83%9B%E1%83%A1%E1%83%90%E1%83%AE%E1%83%98%E1%83%9D%E1%83%91%E1%83%98)
5,Лейла Михайловна Абашидзе,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D1%88%D0%B8%D0%B4%D0%B7%D0%B5,_%D0%9B%D0%B5%D0%B9%D0%BB%D0%B0_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0",Leila Abashidze,https://en.wikipedia.org/wiki/Leila_Abashidze,ლეილა აბაშიძე,https://ka.wikipedia.org/wiki/%E1%83%9A%E1%83%94%E1%83%98%E1%83%9A%E1%83%90_%E1%83%90%E1%83%91%E1%83%90%E1%83%A8%E1%83%98%E1%83%AB%E1%83%94
6,"Абдушелишвили, Малхаз Григорьевич","https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%83%D1%88%D0%B5%D0%BB%D0%B8%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%9C%D0%B0%D0%BB%D1%85%D0%B0%D0%B7_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87",,,,
7,Нино Абесадзе,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B5%D1%81%D0%B0%D0%B4%D0%B7%D0%B5,_%D0%9D%D0%B8%D0%BD%D0%BE",Nino Abesadze,https://en.wikipedia.org/wiki/Nino_Abesadze,ნინო აბესაძე,https://ka.wikipedia.org/wiki/%E1%83%9C%E1%83%98%E1%83%9C%E1%83%9D_%E1%83%90%E1%83%91%E1%83%94%E1%83%A1%E1%83%90%E1%83%AB%E1%83%94
8,"Абесадзе, Ния Георгиевна","https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B5%D1%81%D0%B0%D0%B4%D0%B7%D0%B5,_%D0%9D%D0%B8%D1%8F_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%BD%D0%B0",Niya Abesadze,,,
9,Геворк Абов,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%BE%D0%B2,_%D0%93%D0%B5%D0%B2%D0%BE%D1%80%D0%BA_%D0%90%D1%80%D1%88%D0%B0%D0%BA%D0%BE%D0%B2%D0%B8%D1%87",Gevorg Abov,,,
10,"Абрамидзе, Валери Бурдуевич","https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%B8%D0%B4%D0%B7%D0%B5,_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D0%B8_%D0%91%D1%83%D1%80%D0%B4%D1%83%D0%B5%D0%B2%D0%B8%D1%87",Valeri Abramidze,https://en.wikipedia.org/wiki/Valeri_Abramidze,ვალერი ბურდის ძე აბრამიძე,https://ka.wikipedia.org/wiki/%E1%83%95%E1%83%90%E1%83%9A%E1%83%94%E1%83%A0%E1%83%98_%E1%83%90%E1%83%91%E1%83%A0%E1%83%90%E1%83%9B%E1%83%98%E1%83%AB%E1%83%94
11,Евгений Абрамян,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D1%8F%D0%BD,_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%90%D1%80%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%87",Evgeny Abramyan,https://en.wikipedia.org/wiki/Evgeny_Aramovich_Abramyan,,
12,"Абрамян, Карен Гургенович","https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D1%8F%D0%BD,_%D0%9A%D0%B0%D1%80%D0%B5%D0%BD_%D0%93%D1%83%D1%80%D0%B3%D0%B5%D0%BD%D0%BE%D0%B2%D0%B8%D1%87",Karen Abramyan,,,
13,Георгий Папунаишвили,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%83%D1%80%D0%B4%D0%B6%D0%B0%D0%BD%D0%B8%D1%8F,_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B9",Giorgi Aburjania,https://en.wikipedia.org/wiki/Giorgi_Aburjania,გიორგი აბურჯანია,https://ka.wikipedia.org/wiki/%E1%83%92%E1%83%98%E1%83%9D%E1%83%A0%E1%83%92%E1%83%98_%E1%83%90%E1%83%91%E1%83%A3%E1%83%A0%E1%83%AF%E1%83%90%E1%83%9C%E1%83%98%E1%83%90
14,"Абусеридзе, Ираклий","https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%83%D1%81%D0%B5%D1%80%D0%B8%D0%B4%D0%B7%D0%B5,_%D0%98%D1%80%D0%B0%D0%BA%D0%BB%D0%B8%D0%B9",Irakli Abuseridze,https://en.wikipedia.org/wiki/Irakli_Abuseridze,ირაკლი აბუსერიძე,https://ka.wikipedia.org/wiki/%E1%83%98%E1%83%A0%E1%83%90%E1%83%99%E1%83%9A%E1%83%98_%E1%83%90%E1%83%91%E1%83%A3%E1%83%A1%E1%83%94%E1%83%A0%E1%83%98%E1%83%AB%E1%83%94
15,"Аваков, Сергей Юрьевич","https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B0%D0%BA%D0%BE%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87",,,,
16,"Авакян, Эдуард Самвелович","https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B0%D0%BA%D1%8F%D0%BD,_%D0%AD%D0%B4%D1%83%D0%B0%D1%80%D0%B4_%D0%A1%D0%B0%D0%BC%D0%B2%D0%B5%D0%BB%D0%BE%D0%B2%D0%B8%D1%87",Ēduard Avagyan,,,
17,"Авалиани, Мариам","https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B0%D0%BB%D0%B8%D0%B0%D0%BD%D0%B8,_%D0%9C%D0%B0%D1%80%D0%B8%D0%B0%D0%BC",Mariam Avaliani,,,
18,"Авалишвили, Бидзина Георгиевич","https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B0%D0%BB%D0%B8%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%91%D0%B8%D0%B4%D0%B7%D0%B8%D0%BD%D0%B0_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%B8%D1%87",M. George Avalishvili,,ბიძინა ავალიშვილი,https://ka.wikipedia.org/wiki/%E1%83%91%E1%83%98%E1%83%AB%E1%83%98%E1%83%9C%E1%83%90_%E1%83%90%E1%83%95%E1%83%90%E1%83%9A%E1%83%98%E1%83%A8%E1%83%95%E1%83%98%E1%83%9A%E1%83%98
19,Зураб Давидович Авалишвили,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B0%D0%BB%D0%B8%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%97%D1%83%D1%80%D0%B0%D0%B1_%D0%94%D0%B0%D0%B2%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87",Zurab Avalishvili,https://en.wikipedia.org/wiki/Zurab_Avalishvili,ზურაბ ავალიშვილი,https://ka.wikipedia.org/wiki/%E1%83%96%E1%83%A3%E1%83%A0%E1%83%90%E1%83%91_%E1%83%90%E1%83%95%E1%83%90%E1%83%9A%E1%83%98%E1%83%A8%E1%83%95%E1%83%98%E1%83%9A%E1%83%98
20,"Авалишвили, Юрий Григорьевич","https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B0%D0%BB%D0%B8%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87",Yury Avalishvili,,,
21,"Авалов, Иван Соломонович","https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B0%D0%BB%D0%BE%D0%B2,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%A1%D0%BE%D0%BB%D0%BE%D0%BC%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87",,,,
22,Авет Маркосович Аветисян,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B5%D1%82%D0%B8%D1%81%D1%8F%D0%BD,_%D0%90%D0%B2%D0%B5%D1%82_%D0%9C%D0%B0%D1%80%D0%BA%D0%BE%D1%81%D0%BE%D0%B2%D0%B8%D1%87",Avet Avetisyan,https://en.wikipedia.org/wiki/Avet_Avetisyan,,
23,"Аветисян, Тигран Георгиевич","https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B5%D1%82%D0%B8%D1%81%D1%8F%D0%BD,_%D0%A2%D0%B8%D0%B3%D1%80%D0%B0%D0%BD_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%B8%D1%87",,,ტიგრან ავეტისიანი,https://ka.wikipedia.org/wiki/%E1%83%A2%E1%83%98%E1%83%92%E1%83%A0%E1%83%90%E1%83%9C_%E1%83%90%E1%83%95%E1%83%94%E1%83%A2%E1%83%98%E1%83%A1%E1%83%98%E1%83%90%E1%83%9C%E1%83%98
24,"Агабабов, Аршавир Аветисович","https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%B1%D0%B0%D0%B1%D0%BE%D0%B2,_%D0%90%D1%80%D1%88%D0%B0%D0%B2%D0%B8%D1%80_%D0%90%D0%B2%D0%B5%D1%82%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87",,,,
25,Михаил Агаджанов,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%B4%D0%B6%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%98%D0%BE%D1%81%D0%B8%D1%84%D0%BE%D0%B2%D0%B8%D1%87",Mikhail Aghajanov,,,
26,Карапет Агаджанянц,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%B4%D0%B6%D0%B0%D0%BD%D1%8F%D0%BD%D1%86,_%D0%9A%D0%B0%D1%80%D0%B0%D0%BF%D0%B5%D1%82_%D0%A1%D0%B0%D1%80%D0%BA%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87",Karapet Agadżanian,https://en.wikipedia.org/wiki/Karapet_Agadzhanian,კარაპეტ აგაჯანიანი,
27,"Агаев, Эльдар Аскер оглы","https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%B5%D0%B2,_%D0%AD%D0%BB%D1%8C%D0%B4%D0%B0%D1%80_%D0%90%D1%81%D0%BA%D0%B5%D1%80_%D0%BE%D0%B3%D0%BB%D1%8B",,,,
28,"Агаларов, Гасан-бек","https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%BB%D0%B0%D1%80%D0%BE%D0%B2,_%D0%93%D0%B0%D1%81%D0%B0%D0%BD-%D0%B1%D0%B5%D0%BA",Hasan bey Agalarov,https://en.wikipedia.org/wiki/Hasan_bey_Agalarov,ჰასან ბეგ აღალაროვი,https://ka.wikipedia.org/wiki/%E1%83%B0%E1%83%90%E1%83%A1%E1%83%90%E1%83%9C_%E1%83%91%E1%83%94%E1%83%92_%E1%83%90%E1%83%A6%E1%83%90%E1%83%9A%E1%83%90%E1%83%A0%E1%83%9D%E1%83%95%E1%83%98
29,"Агаларов, Идрис Фархад оглы","https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%BB%D0%B0%D1%80%D0%BE%D0%B2,_%D0%98%D0%B4%D1%80%D0%B8%D1%81_%D0%A4%D0%B0%D1%80%D1%85%D0%B0%D0%B4_%D0%BE%D0%B3%D0%BB%D1%8B",Idris Agalarov,,,https://ka.wikipedia.org/wiki/%E1%83%98%E1%83%93%E1%83%A0%E1%83%98%E1%83%A1_%E1%83%90%E1%83%A6%E1%83%90%E1%83%9A%E1%83%90%E1%83%A0%E1%83%9D%E1%83%95%E1%83%98
30,"Агамирзян, Рубен Сергеевич","https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%BC%D0%B8%D1%80%D0%B7%D1%8F%D0%BD,_%D0%A0%D1%83%D0%B1%D0%B5%D0%BD_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87",Ruben Agamirzian,,,
31,Абел Аганбегян,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%BD%D0%B1%D0%B5%D0%B3%D1%8F%D0%BD,_%D0%90%D0%B1%D0%B5%D0%BB_%D0%93%D0%B5%D0%B7%D0%B5%D0%B2%D0%B8%D1%87",Abel Aganbegyan,https://en.wikipedia.org/wiki/Abel_Aganbegyan,,
32,"Агапов, Борис Николаевич (писатель)","https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%BF%D0%BE%D0%B2,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87_(%D0%BF%D0%B8%D1%81%D0%B0%D1%82%D0%B5%D0%BB%D1%8C)",Boris Agapov,https://en.wikipedia.org/wiki/Boris_Agapov,ბორის აგაპოვი,https://ka.wikipedia.org/wiki/%E1%83%91%E1%83%9D%E1%83%A0%E1%83%98%E1%83%A1_%E1%83%90%E1%83%92%E1%83%90%E1%83%9E%E1%83%9D%E1%83%95%E1%83%98
33,"Агапьева, Наталия Николаевна","https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%BF%D1%8C%D0%B5%D0%B2%D0%B0,_%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D0%B8%D1%8F_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%BD%D0%B0",Natalia Nikolaevna Agapeva,https://en.wikipedia.org/wiki/Natalya_Agapyeva,,
34,Ашот Агаронов,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D1%80%D0%BE%D0%BD%D0%BE%D0%B2,_%D0%90%D1%88%D0%BE%D1%82_%D0%9C%D0%BE%D0%B8%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87",Ashot Aharonov,,,
35,Григор Агаронян,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D1%80%D0%BE%D0%BD%D1%8F%D0%BD,_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%B8%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87",Grigor Aharonyan,,,
36,Мушег Агаян,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D1%8F%D0%BD,_%D0%9C%D1%83%D1%88%D0%B5%D0%B3_%D0%93%D0%B0%D0%B7%D0%B0%D1%80%D0%BE%D1%81%D0%BE%D0%B2%D0%B8%D1%87",,,მუშეგ აღაიანი,
37,Никол Агбалян,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B1%D0%B0%D0%BB%D1%8F%D0%BD,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB_%D0%9F%D0%BE%D0%B3%D0%BE%D1%81%D0%BE%D0%B2%D0%B8%D1%87",Nikol Aghbalian,https://en.wikipedia.org/wiki/Nikol_Aghbalian,,
38,"Агеев, Николай Владимирович","https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B5%D0%B5%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87",N. V. Ageev,,ნიკოლოზ აგეევი,https://ka.wikipedia.org/wiki/%E1%83%9C%E1%83%98%E1%83%99%E1%83%9D%E1%83%9A%E1%83%9D%E1%83%96_%E1%83%90%E1%83%92%E1%83%94%E1%83%94%E1%83%95%E1%83%98
39,"Агладзе, Гоготур Давидович","https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%BB%D0%B0%D0%B4%D0%B7%D0%B5,_%D0%93%D0%BE%D0%B3%D0%BE%D1%82%D1%83%D1%80_%D0%94%D0%B0%D0%B2%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87",,,,
40,"Агладзе, Рафаэль Ильич","https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%BB%D0%B0%D0%B4%D0%B7%D0%B5,_%D0%A0%D0%B0%D1%84%D0%B0%D1%8D%D0%BB%D1%8C_%D0%98%D0%BB%D1%8C%D0%B8%D1%87",,,რაფიელ აგლაძე,https://ka.wikipedia.org/wiki/%E1%83%A0%E1%83%90%E1%83%A4%E1%83%98%E1%83%94%E1%83%9A_%E1%83%90%E1%83%92%E1%83%9A%E1%83%90%E1%83%AB%E1%83%94
41,"Агниашвили, Леван Семёнович","https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%BD%D0%B8%D0%B0%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%9B%D0%B5%D0%B2%D0%B0%D0%BD_%D0%A1%D0%B5%D0%BC%D1%91%D0%BD%D0%BE%D0%B2%D0%B8%D1%87",Levan Agniashvili,https://en.wikipedia.org/wiki/Levan_Agniashvili,ლევან აღნიაშვილი,https://ka.wikipedia.org/wiki/%E1%83%9A%E1%83%94%E1%83%95%E1%83%90%E1%83%9C_%E1%83%90%E1%83%A6%E1%83%9C%E1%83%98%E1%83%90%E1%83%A8%E1%83%95%E1%83%98%E1%83%9A%E1%83%98
42,"Агниашвили, Пётр Семёнович","https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%BD%D0%B8%D0%B0%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%9F%D1%91%D1%82%D1%80_%D0%A1%D0%B5%D0%BC%D1%91%D0%BD%D0%BE%D0%B2%D0%B8%D1%87",,,პეტრე აღნიაშვილი,https://ka.wikipedia.org/wiki/%E1%83%9E%E1%83%94%E1%83%A2%E1%83%A0%E1%83%94_%E1%83%90%E1%83%A6%E1%83%9C%E1%83%98%E1%83%90%E1%83%A8%E1%83%95%E1%83%98%E1%83%9A%E1%83%98
43,Георгий Адамиа,"https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%B0%D0%BC%D0%B8%D0%B0,_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B9",Georgi Adamia,https://en.wikipedia.org/wiki/Georgi_Adamia,გიორგი ადამია,https://ka.wikipedia.org/wiki/%E1%83%92%E1%83%98%E1%83%9D%E1%83%A0%E1%83%92%E1%83%98_%E1%83%90%E1%83%93%E1%83%90%E1%83%9B%E1%83%98%E1%83%90_(%E1%83%A4%E1%83%94%E1%83%AE%E1%83%91%E1%83%A3%E1%83%A0%E1%83%97%E1%83%94%E1%83%9A%E1%83%98)
44,"Адамян, Арам Погосович","https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%B0%D0%BC%D1%8F%D0%BD,_%D0%90%D1%80%D0%B0%D0%BC_%D0%9F%D0%BE%D0%B3%D0%BE%D1%81%D0%BE%D0%B2%D0%B8%D1%87",Aram Adamyan,,,
45,"Адамян, Лейла Вагоевна","https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%B0%D0%BC%D1%8F%D0%BD,_%D0%9B%D0%B5%D0%B9%D0%BB%D0%B0_%D0%92%D0%B0%D0%B3%D0%BE%D0%B5%D0%B2%D0%BD%D0%B0",Leyla Adamyan,https://en.wikipedia.org/wiki/Leyla_Adamyan,,
46,Сатеник Адамян,"https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%B0%D0%BC%D1%8F%D0%BD,_%D0%A1%D0%B0%D1%82%D0%B5%D0%BD%D0%B8%D0%BA_%D0%90%D1%80%D1%82%D1%91%D0%BC%D0%BE%D0%B2%D0%BD%D0%B0",Satenik Adamyan,,,
47,"Адельханов, Владислав Александрович","https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%B5%D0%BB%D1%8C%D1%85%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D1%81%D0%BB%D0%B0%D0%B2_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87",Vladislav Adelkhanov,https://en.wikipedia.org/wiki/Vladislav_Adelkhanov,,
48,"Аджамов, Владимир Касумович","https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%B6%D0%B0%D0%BC%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9A%D0%B0%D1%81%D1%83%D0%BC%D0%BE%D0%B2%D0%B8%D1%87",Vladimir Adzhamov,,,
49,Гурам Захарович Аджоев,"https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%B6%D0%BE%D0%B5%D0%B2,_%D0%93%D1%83%D1%80%D0%B0%D0%BC_%D0%97%D0%B0%D1%85%D0%B0%D1%80%D0%BE%D0%B2%D0%B8%D1%87",Guram Adzhoyev,"https://en.wikipedia.org/wiki/Guram_Adzhoyev_(footballer,_born_1961)",გურამ აჯოევი,https://ka.wikipedia.org/wiki/%E1%83%92%E1%83%A3%E1%83%A0%E1%83%90%E1%83%9B_%E1%83%90%E1%83%AF%E1%83%9D%E1%83%94%E1%83%95%E1%83%98
50,Фред Адра,https://ru.wikipedia.org/wiki/%D0%A4%D1%80%D0%B5%D0%B4_%D0%90%D0%B4%D1%80%D0%B0,Fred Adra,,,
51,"Азарашвили, Важа","https://ru.wikipedia.org/wiki/%D0%90%D0%B7%D0%B0%D1%80%D0%B0%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%92%D0%B0%D0%B6%D0%B0_%D0%A8%D0%B0%D0%BB%D0%B2%D0%BE%D0%B2%D0%B8%D1%87",Vazha Azarashvili,,ვაჟა აზარაშვილი,https://ka.wikipedia.org/wiki/%E1%83%95%E1%83%90%E1%83%9F%E1%83%90_%E1%83%90%E1%83%96%E1%83%90%E1%83%A0%E1%83%90%E1%83%A8%E1%83%95%E1%83%98%E1%83%9A%E1%83%98
52,Майя Гогиевна Азарашвили,"https://ru.wikipedia.org/wiki/%D0%90%D0%B7%D0%B0%D1%80%D0%B0%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%9C%D0%B0%D0%B9%D1%8F_%D0%93%D0%BE%D0%B3%D0%B8%D0%B5%D0%B2%D0%BD%D0%B0",Maia Azarashvili,https://en.wikipedia.org/wiki/Maia_Azarashvili,მაია აზარაშვილი,https://ka.wikipedia.org/wiki/%E1%83%9B%E1%83%90%E1%83%98%E1%83%90_%E1%83%90%E1%83%96%E1%83%90%E1%83%A0%E1%83%90%E1%83%A8%E1%83%95%E1%83%98%E1%83%9A%E1%83%98
53,"Азарови, Иракли","https://ru.wikipedia.org/wiki/%D0%90%D0%B7%D0%B0%D1%80%D0%BE%D0%B2%D0%B8,_%D0%98%D1%80%D0%B0%D0%BA%D0%BB%D0%B8",Irakli Azarovi,https://en.wikipedia.org/wiki/Irakli_Azarovi,ირაკლი აზაროვი,https://ka.wikipedia.org/wiki/%E1%83%98%E1%83%A0%E1%83%90%E1%83%99%E1%83%9A%E1%83%98_%E1%83%90%E1%83%96%E1%83%90%E1%83%A0%E1%83%9D%E1%83%95%E1%83%98
54,"Азатян, Вагарш Давидович","https://ru.wikipedia.org/wiki/%D0%90%D0%B7%D0%B0%D1%82%D1%8F%D0%BD,_%D0%92%D0%B0%D0%B3%D0%B0%D1%80%D1%88_%D0%94%D0%B0%D0%B2%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87",,,,
55,Виктор Азатян,"https://ru.wikipedia.org/wiki/%D0%90%D0%B7%D0%B0%D1%82%D1%8F%D0%BD,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%B8%D1%87",Viktor Azatyan,,,
56,Леонид Азгалдян,"https://ru.wikipedia.org/wiki/%D0%90%D0%B7%D0%B3%D0%B0%D0%BB%D0%B4%D1%8F%D0%BD,_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4_%D0%A0%D1%83%D0%B1%D0%B5%D0%BD%D0%BE%D0%B2%D0%B8%D1%87",Leonid Azgaldyan,https://en.wikipedia.org/wiki/Leonid_Azgaldyan,,
