,ru_name,ru_link,en_name,en_link,ka_name,ka_link
1180,"Меликян, Александр Павлович","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BB%D0%B8%D0%BA%D1%8F%D0%BD,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87",Aleksander Pavlovich Melikyan,,,
1181,Грачик Спиридонович Меликян,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BB%D0%B8%D0%BA%D1%8F%D0%BD,_%D0%93%D1%80%D0%B0%D1%87%D0%B8%D0%BA_%D0%A1%D0%BF%D0%B8%D1%80%D0%B8%D0%B4%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87",,,,
1182,Ника Мелия,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BB%D0%B8%D1%8F,_%D0%9D%D0%B8%D0%BA%D0%B0%D0%BD%D0%BE%D1%80_%D0%90%D0%BD%D0%B7%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87",Nika Melia,https://en.wikipedia.org/wiki/Nika_Melia,ნიკა მელია,https://ka.wikipedia.org/wiki/%E1%83%9C%E1%83%98%E1%83%99%E1%83%90_%E1%83%9B%E1%83%94%E1%83%9A%E1%83%98%E1%83%90
1183,"Мелкадзе, Леван","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BB%D0%BA%D0%B0%D0%B4%D0%B7%D0%B5,_%D0%9B%D0%B5%D0%B2%D0%B0%D0%BD",Levan Melkadze,https://en.wikipedia.org/wiki/Levan_Melkadze,ლევან მელქაძე,https://ka.wikipedia.org/wiki/%E1%83%9A%E1%83%94%E1%83%95%E1%83%90%E1%83%9C_%E1%83%9B%E1%83%94%E1%83%9A%E1%83%A5%E1%83%90%E1%83%AB%E1%83%94
1184,"Менагаришвили, Ираклий Афиногенович","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BD%D0%B0%D0%B3%D0%B0%D1%80%D0%B8%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%98%D1%80%D0%B0%D0%BA%D0%BB%D0%B8%D0%B9_%D0%90%D1%84%D0%B8%D0%BD%D0%BE%D0%B3%D0%B5%D0%BD%D0%BE%D0%B2%D0%B8%D1%87",Irakli Menagarishvili,https://en.wikipedia.org/wiki/Irakli_Menagarishvili,ირაკლი მენაღარიშვილი,https://ka.wikipedia.org/wiki/%E1%83%98%E1%83%A0%E1%83%90%E1%83%99%E1%83%9A%E1%83%98_%E1%83%9B%E1%83%94%E1%83%9C%E1%83%90%E1%83%A6%E1%83%90%E1%83%A0%E1%83%98%E1%83%A8%E1%83%95%E1%83%98%E1%83%9A%E1%83%98
1185,Тенгиз Николаевич Ментешашвили,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BD%D1%82%D0%B5%D1%88%D0%B0%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%A2%D0%B5%D0%BD%D0%B3%D0%B8%D0%B7_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87",,,თენგიზ მენთეშაშვილი,https://ka.wikipedia.org/wiki/%E1%83%97%E1%83%94%E1%83%9C%E1%83%92%E1%83%98%E1%83%96_%E1%83%9B%E1%83%94%E1%83%9C%E1%83%97%E1%83%94%E1%83%A8%E1%83%90%E1%83%A8%E1%83%95%E1%83%98%E1%83%9A%E1%83%98
1186,"Мерабишвили, Инесса Виссарионовна","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%80%D0%B0%D0%B1%D0%B8%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%98%D0%BD%D0%B5%D1%81%D1%81%D0%B0_%D0%92%D0%B8%D1%81%D1%81%D0%B0%D1%80%D0%B8%D0%BE%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0",,,,
1187,"Мерабишвили, Мераб Константинович","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%80%D0%B0%D0%B1%D0%B8%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%9C%D0%B5%D1%80%D0%B0%D0%B1_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D0%B8%D1%87",,,მერაბ მერაბიშვილი,https://ka.wikipedia.org/wiki/%E1%83%9B%E1%83%94%E1%83%A0%E1%83%90%E1%83%91_%E1%83%9B%E1%83%94%E1%83%A0%E1%83%90%E1%83%91%E1%83%98%E1%83%A8%E1%83%95%E1%83%98%E1%83%9A%E1%83%98
1188,"Меребашвили, Георгий","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%80%D0%B5%D0%B1%D0%B0%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B9",Giorgi Merebashvili,https://en.wikipedia.org/wiki/Giorgi_Merebashvili,გიორგი მერებაშვილი,https://ka.wikipedia.org/wiki/%E1%83%92%E1%83%98%E1%83%9D%E1%83%A0%E1%83%92%E1%83%98_%E1%83%9B%E1%83%94%E1%83%A0%E1%83%94%E1%83%91%E1%83%90%E1%83%A8%E1%83%95%E1%83%98%E1%83%9A%E1%83%98
1189,"Меречко, Владислав","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%80%D0%B5%D1%87%D0%BA%D0%BE,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D1%81%D0%BB%D0%B0%D0%B2",,,,
1190,"Месхи, Давит","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%81%D1%85%D0%B8,_%D0%94%D0%B0%D0%B2%D0%B8%D0%B4",Davit Meskhi,,,
